ip,domain
104.248.60.220,dns.iosentrix.com
104.33.186.240,com.apple.dnssd-proxy
104.36.148.181,dns.nextdns.io
104.37.130.10,com.apple.dnssd-proxy
104.49.91.175,vios.ddns.net
104.59.49.91,com.apple.dnssd-proxy
105.233.63.122,dns64.dns.google
105.233.63.122,dns.google
105.233.63.122,dns.google.com
106.105.24.246,dotw.me
106.107.182.174,com.apple.dnssd-proxy
106.107.202.106,com.apple.dnssd-proxy
106.1.189.67,com.apple.dnssd-proxy
106.12.202.161,ssldns.lijiahong.cc
106.14.212.10,dns.shitac.com
106.14.221.10,dns.myhamplace.com
106.15.250.8,dns.laison.ltd
106.172.114.17,com.apple.dnssd-proxy
106.52.153.60,dns.000606.xyz
106.52.4.200,dns.numb.im
106.52.85.172,idns.one
106.55.104.139,dns.kxy.ink
106.55.107.243,dns.lzzw.xyz
106.55.127.112,dot.pub
106.55.130.227,dns.pub
106.55.143.25,dns.kpoi.cn
106.69.189.244,fiewie.duckdns.org
106.75.142.139,dns.ivjn.cn
106.75.177.236,dns.jadesong.net
107.129.188.125,com.apple.dnssd-proxy
107.152.36.112,107-152-36-112.digitdns.com
107.152.38.196,107-152-38-196.digitdns.com
107.152.43.143,dns.aa1nh.us
107.174.170.219,dns.vcinex.com
107.174.206.189,dns.ivjn.cn
107.181.60.164,com.apple.dnssd-proxy
107.181.63.31,com.apple.dnssd-proxy
107.182.235.110,dns.nextdns.io
107.185.133.91,com.apple.dnssd-proxy
107.191.46.177,cubedns.com
107.198.58.187,com.apple.dnssd-proxy
107.205.15.155,com.apple.dnssd-proxy
107.9.20.74,com.apple.dnssd-proxy
108.136.180.77,dns.hnetip.xyz
108.183.186.129,com.apple.dnssd-proxy
108.219.62.147,com.apple.dnssd-proxy
108.26.26.65,com.apple.dnssd-proxy
108.29.127.110,com.apple.dnssd-proxy
108.30.12.237,dot.modcrew.com
108.61.157.214,dns01.leidns.net
108.61.189.69,cubedns.com
108.61.209.16,dns.daddymadu.gg
108.82.250.179,com.apple.dnssd-proxy
108.90.89.27,com.apple.dnssd-proxy
109.105.220.87,dns.thalheim.io
109.109.94.10,com.apple.dnssd-proxy
109.122.96.201,dot.sn.co.rs
109.197.113.79,homeevil.duckdns.org
109.225.103.75,com.apple.dnssd-proxy
109.225.109.231,com.apple.dnssd-proxy
109.225.127.100,com.apple.dnssd-proxy
109.228.144.108,com.apple.dnssd-proxy
109.228.189.55,com.apple.dnssd-proxy
109.239.249.242,abiale.duckdns.org
109.254.12.37,r-home.ddns.net
109.255.128.173,com.apple.dnssd-proxy
109.255.165.244,com.apple.dnssd-proxy
109.255.73.76,com.apple.dnssd-proxy
109.71.25.55,dns.wiechenhost.de
109.72.169.23,com.apple.dnssd-proxy
109.86.152.25,dns.moskit.pp.ua
109.87.49.221,cloudflare-dns.com
110.10.218.193,com.apple.dnssd-proxy
110.10.253.90,com.apple.dnssd-proxy
110.10.42.188,com.apple.dnssd-proxy
110.10.43.138,com.apple.dnssd-proxy
110.10.58.2,com.apple.dnssd-proxy
110.10.6.100,com.apple.dnssd-proxy
110.11.100.57,com.apple.dnssd-proxy
110.11.159.185,com.apple.dnssd-proxy
110.11.168.212,com.apple.dnssd-proxy
110.11.174.30,com.apple.dnssd-proxy
110.11.181.122,com.apple.dnssd-proxy
110.11.200.143,com.apple.dnssd-proxy
110.11.22.40,com.apple.dnssd-proxy
110.11.233.157,com.apple.dnssd-proxy
110.11.244.137,com.apple.dnssd-proxy
110.11.34.125,com.apple.dnssd-proxy
110.11.51.181,com.apple.dnssd-proxy
110.11.54.160,com.apple.dnssd-proxy
110.12.124.151,com.apple.dnssd-proxy
110.12.130.181,com.apple.dnssd-proxy
110.12.175.46,com.apple.dnssd-proxy
110.12.198.242,com.apple.dnssd-proxy
110.12.21.3,com.apple.dnssd-proxy
110.12.218.170,com.apple.dnssd-proxy
110.12.219.79,com.apple.dnssd-proxy
110.12.243.46,com.apple.dnssd-proxy
110.12.26.7,com.apple.dnssd-proxy
110.12.35.105,com.apple.dnssd-proxy
110.12.43.122,com.apple.dnssd-proxy
110.12.48.89,com.apple.dnssd-proxy
110.12.49.63,com.apple.dnssd-proxy
110.12.67.141,com.apple.dnssd-proxy
110.12.76.195,com.apple.dnssd-proxy
110.12.91.43,com.apple.dnssd-proxy
110.13.116.112,com.apple.dnssd-proxy
110.13.117.45,com.apple.dnssd-proxy
110.13.147.109,com.apple.dnssd-proxy
110.13.161.80,com.apple.dnssd-proxy
110.13.17.6,com.apple.dnssd-proxy
110.13.55.105,com.apple.dnssd-proxy
110.13.75.84,com.apple.dnssd-proxy
110.13.89.148,com.apple.dnssd-proxy
110.13.9.88,com.apple.dnssd-proxy
110.14.0.171,com.apple.dnssd-proxy
110.14.152.31,com.apple.dnssd-proxy
110.14.180.49,com.apple.dnssd-proxy
110.14.228.140,com.apple.dnssd-proxy
110.14.62.43,com.apple.dnssd-proxy
110.15.10.142,com.apple.dnssd-proxy
110.15.126.181,com.apple.dnssd-proxy
110.15.169.114,com.apple.dnssd-proxy
110.15.194.14,com.apple.dnssd-proxy
110.15.237.100,com.apple.dnssd-proxy
110.15.244.168,com.apple.dnssd-proxy
110.15.50.68,com.apple.dnssd-proxy
110.15.57.125,com.apple.dnssd-proxy
110.15.6.160,com.apple.dnssd-proxy
110.15.96.20,com.apple.dnssd-proxy
110.35.251.112,com.apple.dnssd-proxy
110.42.214.43,edns.elstec.cn
110.8.123.177,com.apple.dnssd-proxy
110.8.155.178,com.apple.dnssd-proxy
110.8.189.81,com.apple.dnssd-proxy
110.8.194.167,com.apple.dnssd-proxy
110.8.240.75,com.apple.dnssd-proxy
110.8.86.43,com.apple.dnssd-proxy
110.8.9.44,com.apple.dnssd-proxy
110.9.114.21,com.apple.dnssd-proxy
